name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:07:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,83,704,702,12891.2,14,0,1141,1583,867,60932.8,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:07:31+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,400,81,0,14,0,1209,1964,150,2763.2,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:08:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,157,922,433,0,14,0,914,2256,390,0,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:08:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-63,0,676,4835,263,422.4,14,0,8873,8543,293,497.067,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:08:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,93,804,780,508.8,14,0,1227,1696,867,667.733,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:08:16+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,401,81,0,14,0,1214,1977,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:08:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,157,923,263,22.4,14,0,919,2267,433,2808,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:08:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,158,930,433,786.667,14,0,920,2272,433,499.733,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:08:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,684,4912,117,3974.4,14,0,9064,8694,260,101272,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:08:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,809,780,0,14,0,1232,1706,867,0,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:08:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,401,81,0,14,0,1219,1987,135,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:09:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,158,931,433,24.5333,14,0,925,2283,433,2800.53,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:09:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,686,4918,88,1120.53,14,0,9071,8709,293,3773.33,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:09:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,94,810,780,22.4,14,0,1237,1717,867,2758.93,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:09:01+02:00," N 1X1 SGI20 SGI40",0,-52,0,36,401,81,0,14,0,1224,1998,150,2800.53,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:09:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,159,935,433,382.933,14,0,926,2287,433,310.933,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:09:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,688,4932,263,992.533,14,0,9072,8716,293,449.067,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:09:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-55,0,94,810,780,0,14,0,1237,1718,780,44.8,A491B16F74AD,8F68,ap1
