packet,delta,bytes
1259,7,1024
1260,6,1024
1261,12,1024
1262,8,1024
1263,7,1024
1264,6,1024
1265,6,1024
1266,6,1024
1267,6,1024
1268,7,1024
1269,7,1024
1270,6,1024
1271,6,1024
1272,7,1024
1273,7,1024
1274,6,1024
1275,6,1024
1276,6,1024
1277,6,1024
1278,6,1024
1279,6,1024
1280,7,1024
1281,6,1024
1282,7,1024
1283,7,1024
1284,7,1024
1285,6,1024
1286,7,1024
1287,9841,1024
1288,9,1024
1289,7,1024
1290,6,1024
1291,7,1024
1292,7,1024
1293,7,1024
1294,7,1024
1295,7,1024
1296,6,1024
1297,6,1024
1298,7,1024
1299,6,1024
1300,7,1024
1301,7,1024
1302,7,1024
1303,7,1024
1304,7,1024
1305,7,1024
1306,6,1024
1307,6,1024
1308,6,1024
1309,6,1024
1310,7,1024
1311,7,1024
1312,7,1024
1313,6,1024
1314,7,1024
1315,6,1024
1316,7,1024
1317,7,1024
1318,7,1024
1319,6,1024
1320,6,1024
1321,6,1024
1322,6,1024
1323,6,1024
1324,7,1024
1325,7,1024
1326,10,1024
1327,7,1024
1328,6,1024
1329,7,1024
1330,7,1024
1331,6,1024
1332,6,1024
1333,7,1024
1334,7,1024
1335,7,1024
1336,6,1024
1337,6,1024
1338,7,1024
1339,21371,1024
1340,8,1024
1341,7,1024
1342,6,1024
1343,7,1024
1344,7,1024
1345,6,1024
1346,7,1024
1347,6,1024
1348,6,1024
1349,6,1024
1350,6,1024
1351,6,1024
1352,6,1024
1353,7,1024
1354,7,1024
1355,7,1024
1356,6,1024
1357,6,1024
1358,6,1024
1359,7,1024
1360,6,1024
1361,6,1024
1362,6,1024
1363,7,1024
1364,7,1024
1365,7,1024
1366,6,1024
1367,6,1024
1368,6,1024
1369,6,1024
1370,8,1024
1371,7,1024
1372,7,1024
1373,6,1024
1374,6,1024
1375,6,1024
1376,6,1024
1377,6,1024
1378,7,1024
1379,6,1024
1380,6,1024
1381,6,1024
1382,7,1024
1383,6,1024
1384,6,1024
1385,6,1024
1386,6,1024
1387,7,1024
1388,6,1024
1389,7,1024
1390,6,1024
1391,6,1024
1392,25434,1024
1393,10,1024
1394,7,1024
1395,7,1024
1396,6,1024
1397,7,1024
1398,6,1024
1399,6,1024
1400,6,1024
1401,6,1024
1402,7,1024
1403,7,1024
1404,6,1024
1405,7,1024
1406,7,1024
1407,9,1024
1408,7,1024
1409,6,1024
1410,7,1024
1411,7,1024
1412,7,1024
1413,6,1024
1414,6,1024
1415,6,1024
1416,6,1024
1417,7,1024
1418,6,1024
1419,10,1024
1420,6,1024
1421,7,1024
1422,6,1024
1423,7,1024
1424,8,1024
1425,6,1024
1426,6,1024
1427,7,1024
1428,7,1024
1429,6,1024
1430,7,1024
1431,6,1024
1432,7,1024
1433,7,1024
1434,7,1024
1435,8,1024
1436,8,1024
1437,6,1024
1438,6,1024
1439,6,1024
1440,7,1024
1441,9,1024
1442,6,1024
1443,6,1024
1444,7,1024
1445,6,1024
1446,7,1024
1447,6,1024
1448,6,1024
1449,6,1024
1450,6,1024
1451,6,1024
1452,7,1024
1453,6,1024
1454,6,1024
1455,7,1024
1456,6,1024
1457,10,1024
1458,7,1024
1459,7,1024
1460,7,1024
1461,7,1024
1462,6,1024
1463,7,1024
1464,6,1024
1465,6,1024
1466,6,1024
1467,6,1024
1468,6,1024
1469,6,1024
1470,6,1024
1471,6,1024
1472,6,1024
1473,9,1024
1474,8,1024
1475,7,1024
1476,8198,1024
1477,8,1024
1478,7,1024
1479,7,1024
1480,7,1024
1481,7,1024
1482,7,1024
1483,6,1024
1484,6,1024
1485,7,1024
1486,6,1024
1487,6,1024
1488,6,1024
1489,7,1024
1490,6,1024
1491,6,1024
1492,6,1024
1493,6,1024
1494,7,1024
1495,6,1024
1496,6,1024
1497,6,1024
1498,6,1024
1499,7,1024
1500,7,1024
1501,6,1024
1502,7,1024
1503,6,1024
1504,6,1024
1505,6,1024
1506,7,1024
1507,7,1024
1508,6,1024
1509,6,1024
1510,6,1024
1511,6,1024
1512,6,1024
1513,7,1024
1514,7,1024
1515,7,1024
1516,7,1024
1517,7,1024
1518,6,1024
1519,7,1024
1520,7,1024
1521,6,1024
1522,6,1024
1523,6,1024
1524,6,1024
1525,6,1024
1526,6,1024
1527,7,1024
1528,16416,1024
1529,10,1024
1530,7,1024
1531,7,1024
1532,7,1024
1533,6,1024
1534,7,1024
1535,7,1024
1536,7,1024
1537,7,1024
1538,7,1024
1539,7,1024
1540,6,1024
1541,6,1024
1542,6,1024
1543,6,1024
1544,6,1024
1545,7,1024
1546,6,1024
1547,6,1024
1548,6,1024
1549,6,1024
1550,7,1024
1551,6,1024
1552,6,1024
1553,6,1024
